no,code,name,cat,mat,ct,price
1,DP0141,DIAMONDS CROSS PENDANT NECKLACE,PD NECKLES,PT950,0.55ct,400000
2,DPC0479,DIAMONDS CROSS PENDANT NECKLACE,PD NECKLES,PT950,0.45ct,460000
3,JP4455,DIAMONDS CROSS PENDANT NECKLACE,PD NECKLES,PT950,0.20ct,190000
4,JP4776,DIAMONDS FLOWER PENDANT NECKLACE,PD NECKLES,K18PG,0.55ct,410000
5,DP0552,DIAMONDS PENDANT NECKLACE,PD NECKLES,PT950/K18YG,0.18/0.12,260000
6,DP0594-M,YELLOW DIA PANDANT NECKLACE,PD NECKLES,PT950/K18YG,YD0.20/D0.12,290000
7,DP0586,YELLOW DIA PANDANT NECKLACE,PD NECKLES,PT950/K18YG,D0.13/YD0.10,260000
8,DP0562,PINK DIA PANDANT NECKLACE,PD NECKLES,PT950/K18PG,D0.08/PD0.04,260000
9,DP0491,DIAMONDS TREAT BLUE DIAMONDS PENDANT NECKLACE,PD NECKLES,PT950,0.40/D0.38,410000
10,JPC5378,EMERALD DIA PENDANT NECLLACE,PD NECKLES,PT950,D0.48/E0.46,390000
11,DP0577,DIAMONDS PENDANT NECKLACE,PD NECKLES,PT950,0.50ct,390000
12,JP5401,DIAMONDS HORSE SHOE PENDANT,PENDANT,PT950,0.20ct,100000
13,JP5401,DIAMONDS HORSE SHOE PENDANT,PENDANT,K18YG,0.20ct,110000
14,DP0556,DIAMONDS PENDANT,PENDANT,PT950,0.20ct,100000
15,JP5169,ROSE CUT DIAMONDS PENDANT,PENDANT,K18YG,0.40ct,220000
16,JE1712A,TREAT BLUE DIAMOND PIERCE,PIERCE,PT950,0.08/0.06,90000
17,DE0159,DIAMONDS PIERCE,PIERCE,PT950,0.60ct,470000
18,DE0157,DIAMONDS PIERCE,PIERCE,K18WG,0.34ct,540000
19,DE0148,YELLOW DIAMONDS EAR CUFF,EAR CUFF,K18WG/K18YG,0.30ct,220000
20,260899,12-13mm BLACK PEARL PENDANT 0.74g,PENDANT,K18WG,0.08ct,170000
21,260898,15-16mm BLACK PEARL PENDANT 3.04g,PENDANT,K18WG,0.26ct,500000
22,260905,11-12mm BLACK PEARL PENDANT 0.81g,PENDANT,K18WG,0.06ct,170000
23,260900,11-12mm BLACK PEARL PENDANT 0.74g,PENDANT,K18WG,0.08ct,155000
24,260895,12-13mm BLACK PEARL PENDANT 2.15g,PENDANT,K18WG,0.22ct,295000
25,260906,12-13mm BLACK PEARL PENDANT 1.0g,PENDANT,K18WG,0.11ct,200000
26,260918,13-14mm WHITE SOUTH SEA PEARL PENDANT,PENDANT,K18WG,0.33ct,570000
27,258459,SKL12mm WHITE SOUTH SEA PEARL PENDANT 1.3g,PENDANT,K18WG,0.10ct,335000
28,289389,SSP 12mm WHITE SOUTH SEA PEARL PENDANT,PENDANT,K18WG,0.30ct,420000
29,289394,SKL12.9mm WHITE SOUTH SEA PEARL PENDANT,PENDANT,K18WG,0.11ct,420000
30,251257,WHITE SOUTH SEA PEARL PENDANT,PENDANT,K18YG,,210000
31,288436,FWP 12.1mm FRESHWATER PEARL PENDANT,PENDANT,K18WG,0.10ct,170000
32,288435,FWP 12.2mm FRESHWATER PEARL PENDANT,PENDANT,K18WG,0.10ct,170000
33,273331,3-4.5mm AKOYA PEARL PIERCE,PIERCE,K18YG,0.09/0.09,335000
34,227002,HANA-P-4 6.5mm AKOYA PEARL PIERCE,PIERCE,K18WG,,105000
